"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"I2YL3N4E","journalArticle","2021","Nagarkar, M.","Spatial and temporal variations in Synechococcus microdiversity in the Southern California coastal ecosystem","Environ. Microbiology","","","","","","2021","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","252-256","","1","23","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0493 Type: 10.1111/1462-2920.15307","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JS4VEFUH","journalArticle","2021","Zaba, K. D.","The California Undercurrent as a Source of Upwelled Waters in a Coastal Filament","Journal of Geophysical Research: Oceans","","","","https://urldefense.com/v3/__https://doi.org/10.1029/2020JC016602__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358ypEE8w5S0$","In the California Current System, cross-shore transport of upwelled, nutrient-rich waters from the coastal margin to the open ocean can occur within intermittent, submesoscale-to-mesoscale features such as filaments. Time-varying spatial gradients within filaments affect net cross-shore fluxes of physical, biological, and chemical tracers but require high-resolution measurements to accurately estimate. In June 2017, the California Current Ecosystem Long Term Ecological Research program process cruise (P1706) conducted repeat sections by an autonomous Spray glider and a towed SeaSoar to investigate the role of one such coastal upwelling feature, the Morro Bay filament, which was characterized by enhanced cross-filament gradients (both physical and biological) and an along-filament jet. Within the jet, speeds were up to 0.78 m/s and the offshore transport was 1.5 Sverdrups (3.8 Sverdrups) in the upper 100 m (500 m). A climatological data product from the sustained California Underwater Glider Network provided necessary information for water mass differentiation. The analysis revealed that the cold, salty side of the filament carried recently upwelled California Undercurrent water and corresponded to higher chlorophyll-a fluorescence than the warm, fresh side, which carried California Current water. Thus, there was a convergence of heterogeneous water masses within the core of the filament’s offshore-flowing jet. These water masses have different geographic origins and thermohaline characteristics, which has implications for filament-related cross-shore fluxes and submesoscale-tomesoscale biological community structure gradients.","2021","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","13 pgs","","","126","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0495 Type: 10.1029/2020JC016602","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XEKMQNLW","journalArticle","2020","Krause, J. W.","The interaction of physical and biological factors drives phytoplankton spatial distribution in the northern California Current","Limnology and Oceanography","","","","","","2020","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","","","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0487; AR2020 Type: 10.1002/lno.11431","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YBBWWAKR","journalArticle","2020","Biard T, and M. D. Ohman","Vertical niche definition of test-bearing protists (Rhizaria) into the twilight zone revealed by in situ imaging","Limnology and Oceanography","","","","","The Rhizaria is a super-group of ameoboid protists with ubiquitous distributions, from the euphotic zone to the twilight zone and beyond. While rhizarians have been recently described as important contributors to both silica and carbon fluxes, we lack the most basic information about their ecological preferences. Here, using the in situ imaging (Underwater Vision Profiler 5), we characterize the vertical ecological niches of different test-bearing rhizarian taxa in the southern California Current Ecosystem. We define three vertical layers between 0-500 m occupied, respectively, by 1) surface dwelling and mostly symbiont-bearing rhizarians (Acantharia and Collodaria), 2) flux-feeding phaeodarians in the lower epipelagic (100-200 m), and 3) Foraminifera and Phaeodaria populations adjacent to the Oxygen Minimum Zone. We then use Generalized Additive Models to analyze the response of each rhizarian category to a suite of environmental variables. The models explain between 13 and 93% of the total variance observed for the different groups. While temperature and the depth of the deep chlorophyll maximum, appear as the main factors influencing populations in the upper 200 m, silicic acid concentration is the most important variable related to the abundance of mesopelagic phaeodarians. The relative importance of biotic interactions (e.g., predation, parasitism) is still to be considered, in order to fully incorporate the dynamics of test-bearing pelagic rhizarians in ecological and biogeochemical models.","2020","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","","","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0474; AR2020 Type: 10.1002/lno.11472","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZVZ3HL37","journalArticle","2020","Szesciorka A. R., L. T. Ballance","Timing is everything: Drivers of interannual variability in blue whale migration","Scientific Reports","","","","https://urldefense.com/v3/__https://doi.org/10.1038/s41598-020-64855-y__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358ypssD6Trw$","Blue whales need to time their migration from their breeding grounds to their feeding grounds to avoid missing peak prey abundances, but the cues they use for this are unknown. We examine migration timing (inferred from the local onset and cessation of blue whale calls recorded on seafoor-mounted hydrophones), environmental conditions (e.g., sea surface temperature anomalies and chlorophyll a), and prey (spring krill biomass from annual net tow surveys) during a 10 year period (2008–2017) in waters of the Southern California Region where blue whales feed in the summer. Colder sea surface temperature anomalies the previous season were correlated with greater krill biomass the following year, and earlier arrival by blue whales. Our results demonstrate a plastic response of blue whales to interannual variability and the importance of krill as a driving force behind migration timing. A decadal- scale increase in temperature due to climate change has led to blue whales extending their overall time in Southern California. By the end of our 10-year study, whales were arriving at the feeding grounds more than one month earlier, while their departure date did not change. Conservation strategies will need to account for increased anthropogenic threats resulting from longer times at the feeding grounds.","2020","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","7710","10","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0475; AR2020 Type: 10.1038/s41598-020-64855-y","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N2EC72M4","journalArticle","2020","Sydeman, W. J.","Sixty-five years of northern anchovy population studies in the southern California Current: a review and suggestion for sensible management","ICES Journal of Marine Science","","","","https://urldefense.com/v3/__https://doi.org/10.1093/icesjms/fsaa004__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358ypmz8JwcI$","","2020","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","486-499","","","77","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0479; AR2020 Type: 10.1093/icesjms/fsaa004","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4VRMUIAK","journalArticle","2020","Ruhl, H. A.","Understanding the remote influences of ocean weather on the episodic pulses of particulate organic carbon flux","Deep-Sea Research, Part II","","","","https://urldefense.com/v3/__https://doi.org/10.1016/j.dsr2.2020.104741__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358yp-ybsmcg$","","2020","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","","173","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0482; AR2020 Type: 10.1016/j.dsr2.2020.104741","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TTI858IG","journalArticle","2019","Thompson, A. R.","STATE OF THE CALIFORNIA CURRENT 2018–19: A NOVEL ANCHOVY REGIME AND A NEW MARINE HEATWAVE?","CalCOFI Reports","","","","","","2019","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","1-66","","","60","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0473; AR2020","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6WYSMGY","journalArticle","2019","Stukel, M. R.","The roles of suspension-feeding and flux-feeding zooplankton as gatekeepers of particle flux into the mesopelagic ocean","Frontiers in Marine Science","","","","https://urldefense.com/v3/__https://doi.org/10.3389/fmars.2019.00397__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358yp7uWLHHo$","","2019","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","","","397","6","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0444; AR2019 Type: 10.3389/fmars.2019.00397","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QAABTY42","journalArticle","2019","Stukel, M. R.","The Carbon:234Thorium ratios of sinking particles in the California Current Ecosystem 1: Relationships with plankton ecosystem dynamics","Marine Chemistry","","","","https://urldefense.com/v3/__https://doi.org/10.1016/j.marchem.2019.01.003__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358yp7H2ZXZE$","We investigated variability in the C:234Th ratio of sinking particles and its relationship to changing water column characteristics and plankton ecological dynamics during 29 Lagrangian experiments conducted on six cruises of the California Current Ecosystem Long-Term Ecological Research (CCE-LTER) Program. C:234Th ratios of sinking particles collected by a surface-tethered sediment trap (C:234ThST) varied from 2.3 to 20.5 μmol C dpm−1 over a depth range of 47–150 m. C:234ThST was significantly greater (by a factor of 1.8) than C:234Th ratios of suspended >51-μm particles collected in the same water parcels with in situ pumps. C:234Th ratios of large (>200-μm) sinking particles also exceeded those of smaller sinking particles. C:234ThST decreased with depth from the base of the euphotic zone through the upper twilight zone. C:234ThST was positively correlated with several indices of ecosystem productivity including particulate organic carbon (POC) and chlorophyll (Chl) concentrations, mesozooplankton biomass, and the fraction of Chl >20-μm. Principal component analysis and multiple linear regression suggested that decaying phytoplankton blooms exhibited higher C:234ThST than actively growing blooms at similar biomass levels. C:234ThST was positively correlated with indices of the fractional contribution of fecal pellets in sediment traps when the proportion of fecal pellets was low in the traps, likely because of a correlation between mesozooplankton biomass and other indices of ecosystem productivity. However, when fecal pellets were a more important component of sinking material, C:234ThST decreased with increasing fecal pellet content. C:234ThST was also positively correlated with the Si:C ratio of sinking particles. Across the dataset (and across depths) a strong correlation was found between C:234ThST and the ratio of vertically-integrated POC to vertically-integrated total water column 234Th (vC:234Thtot). A mechanistic one-layer, two-box model of thorium sorption and desorption was invoked to explain this correlation. Two empirical models (one using vC:234Thtot; one using depth and vertically-integrated Chl) were developed to predict C:234Th ratios in this coastal upwelling biome. The former regression (log10(C:234ThST) = 0.43 × log10(vC:234Thtot) + 0.53) was found to also be a reasonable predictor for C:234ThST from diverse regions including the Southern Ocean, Sargasso Sea, Subarctic North Pacific, and Eastern Tropical North Pacific.","2019","2022-12-16 19:26:41","2022-12-16T19:26:41Z","","1-15","","","212","","","","","","","","","","","","","","","","","Accession Number: CCE LTER Contribution #0428; AR2019 Type: 10.1016/j.marchem.2019.01.003","","","","CCE; Published","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
