Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
6HKRDSPR,journalArticle,2020,"Pozo Buil, M.",An Ensemble view of the Decadal Predictability and Dynamics of the North Pacific subsurface eddy-scale ocean circulation,Journal of Climate,,,,,,2020,2022-12-16 19:26:41,2022-12-16T19:26:41Z,,,,,,,,,,,,,,,,,,,,,,0419,,,,CCE; In review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7FKS5CFF,journalArticle,2020,"Bourne, H. L.",Carbon Export and Fate Beneath a Dynamic Upwelled Filament off the California Coast,Biogeosciences Discuss,,,,https://urldefense.com/v3/__https://doi.org/10.5194/bg-2020-342__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358ypnub-kS8$,,2020,2022-12-16 19:26:41,2022-12-16T19:26:41Z,,,,,,,,,,,,,,,,,,,,,,0491,,,,CCE; In review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL55MRHI,journalArticle,2020,"Amaya, D. J.",Are long-term changes in mixed layer depth influencing North Pacific marine heatwaves?,Bulletin of the American Meteorological Society,,,,,,2020,2022-12-16 19:26:41,2022-12-16T19:26:41Z,,,,,,,,,,,,,,,,,,,,,,0478,,,,CCE; In review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZF6V3DS5,thesis,2020,"Coale, T. H.; Allen, Andrew",Characterizing the influence of iron on the cellular processes of marine phytoplankton,,,,,,,2020,2022-12-16 19:26:41,2022-12-16T19:26:41Z,,,,,,,,,,,,,University of California,"San Diego, CA",,,Ph.D,,,,,0490,,,,CCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLCHZBMI,journalArticle,2019,"Whitmore, B. M.",A comparison between Zooglider and shipboard net and acoustic mesozooplankton sensing systems,Journal of Plankton Research,,,,,"Some planktonic patches have markedly higher concentrations of organisms compared to ambient conditions and are <5 m in thickness (i.e. thin layers). Conventional net sampling techniques are unable to resolve this vertical microstructure, while optical imaging systems can measure it for limited durations. Zooglider, an autonomous zooplankton-sensing glider, uses a low-power optical imaging system (Zoocam) to resolve mesozooplankton at a vertical scale of 5 cm while making concurrent physical and acoustic measurements (Zonar). In March 2017, Zooglider was compared with traditional nets (MOCNESS) and ship-based acoustics (Simrad EK80). Zoocam recorded significantly higher vertically integrated abundances of smaller copepods and appendicularians, and larger gelatinous predators and mineralized protists, but similar abundances of chaetognaths, euphausiids, and nauplii. Differences in concentrations and size-frequency distributions are attributable to net extrusion and preservation artifacts, suggesting advantages of in situ imaging of organisms by Zooglider. Zoocam detected much higher local concentrations of copepods and appendicularians (53 000 and 29 000 animals m−3, respectively) than were resolvable by nets. The EK80 and Zonar at 200 kHz agreed in relative magnitude and distribution of acoustic backscatter. The profiling capability of Zooglider allows for deeper high-frequency acoustic sampling than conventional ship-based acoustics.",2019,2022-12-16 19:26:41,2022-12-16T19:26:41Z,,521-533,,4,41,,,,,,,,,,,,,,,,,0455,,,,CCE; Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD6YQY84,journalArticle,2019,"Sathyendranath, S.",An ocean-colour time series for use in climate studies: the experience of the ocean-colour climate change initiative (OC-CCI),Sensors,,,,https://urldefense.com/v3/__https://www.mdpi.com/1424-8220/19/19/4285__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358ypWwOULO4$,,2019,2022-12-16 19:26:41,2022-12-16T19:26:41Z,,,,,19,,,,,,,,,,,,,,,,,0481,,,,CCE; Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N93A74T9,thesis,2019,"Ruacho, A.; Barbeau, Katherine A.",Characterization of Copper-Binding Ligands and Copper Speciation in Open Ocean and Coastal Marine Systems using Electrochemical Methods,,,,,,,2019,2022-12-16 19:26:41,2022-12-16T19:26:41Z,,,,,,,,,,,,,University of California,"San Diego, CA",,,Ph.D.,,,,,0462,,,,CCE; Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ATKSMBD,journalArticle,2019,"Ohman, M. D.",A sea of tentacles:  Optically-discernable traits resolved from planktonic organisms in situ.,ICES Journal of Marine Science,,,,,"Trait-based simplifications of plankton community structure require accurate assessment of trait values as expressed in situ. Yet planktonic organisms live suspended in a fluid medium and often bear elongate appendages, delicate feeding structures, and mucous houses that are badly damaged upon capture or removal from the fluid environment. Fixatives further distort organisms. In situ imaging of zooplankton from a fully autonomous Zooglider reveals a suite of trait characteristics that often differ markedly from those inferred from conventionally sampled plankton. In situ images show fragile feeding appendages in natural hunting postures, including reticulate networks of rhizopods, feeding tentacles of cnidarians, and tentilla of ctenophores; defensive spines and setae of copepods; intact mucous houses of appendicularians; and other structures that are not discernible in conventionally collected zooplankton. Postures characteristic of dormant copepods can be identified and the presence of egg sacs detected. Intact, elongate diatom chains that are much longer than measured in sampled specimens are resolvable in situ. The ability to image marine snow, as well as small-scale fluid deformations, reveals micro-habitat structure that may alter organismal  behaviour. Trait-based representations of planktonic organisms in biogeochemical cycles need to consider naturally occurring traits expressed by freely suspended planktonic organisms in situ",2019,2022-12-16 19:26:41,2022-12-16T19:26:41Z,,1959-1972,,7,76,,,,,,,,,,,,,,,,,0458,,,,CCE; Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQXGH223,journalArticle,2019,"Lilly, L. E.",Biogeochemical anomalies at two southern California Current System moorings during the 2014–2016 Warm Anomaly‐El Niño sequence,Journal of Geophysical Research: Oceans,,,,https://urldefense.com/v3/__https://doi.org/10.1029/2019JC015255__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358yp_Qpbokg$,,2019,2022-12-16 19:26:41,2022-12-16T19:26:41Z,,6886-6903,,,124,,,,,,,,,,,,,,,,,0463,,,,CCE; Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3UEKY9QJ,journalArticle,2019,"Kaplan, I. C.",A multi-model approach to understanding the role of Pacific sardine in the California Current food web,Marine Ecology Progress Series,,,,https://urldefense.com/v3/__https://doi.org/10.3354/meps12504__;!!Mih3wA!TIxBg1YeDlzeudIr0oPjTeSLeodmL844cEatr4iXGtRyAqBABOo358yp_k7QQHE$,"We develop a multi-model approach to explore how abundance of a forage fish (Pacific sardine Sardinops sagax) impacts the ecosystem and predators in the California Current, a region where sardine and anchovy Engraulis mordax have recently declined to less than 10% of contemporary peak abundances. We developed or improved applications of 3 ecosystem modeling  approaches: Ecopath, Model of Intermediate Complexity for Ecosystem assessment (MICE), and Atlantis. We also used Ecopath diets to predict impacts to predators using a statistical  generalization of the dynamic Ecosim model (Predator Response to the Exploitation of Prey [PREP]). Models that included brown pelican Pelecanus occidentalis at the species level (MICE and Ecopath/PREP) both predict moderate to high vulnerability of brown pelicans to low sardine abundance. This vulnerability arises because sardine comprises a large fraction of their diet, and because other important prey (anchovy) also exhibit large population fluctuations. Two of the  ecosystem models (MICE and Atlantis) suggest that California sea lions Zalophus californianus exhibit relatively minor responses to sardine depletion, due to having broader diets and lower reliance on another fluctuating species, anchovy. On the other hand, Ecopath/PREP suggests that sardine declines will have a stronger impact on California sea lions. This discrepancy may in part reflect structural differences in the models: Atlantis and MICE explicitly represent density dependence and age-structure, which can mitigate effects of prey depletion in these models. Future work should identify fisheries management strategies that are robust to uncertainties within and among models, rather than relying on single models to assess ecosystem impacts of management and forage fish abundance.",2019,2022-12-16 19:26:41,2022-12-16T19:26:41Z,,307-321,,,617-618,,,,,,,,,,,,,,,,,0412,,,,CCE; Published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
